|End of Year|Sample Population<br/>(Thousands)|Vaccinated Population<br/>(Thousands)|Total Vaccinated<br/>Since 1998<br/>(Thousands)|
|---| --: | --: | --: |
| 1980 | 100685 | 70921 (70.4%) | -- |
| 1981 | 101328 | 82921 (81.8%) | -- |
| 1982 | 101936 | 89923 (88.2%) | -- |
| 1983 | 102629 | 94190 (91.8%) | -- |
| 1984 | 103253 | 96842 (93.8%) | -- |
| 1985 | 103924 | 98746 (95.0%) | -- |
| 1986 | 104615 | 100133 (95.7%) | -- |
| 1987 | 105344 | 101170 (96.0%) | -- |
| 1988 | 106017 | 102026 (96.2%) | -- |
| 1989 | 106742 | 102790 (96.3%) | -- |
| 1990 | 107434 | 103590 (96.4%) | -- |
| 1991 | 108187 | 104335 (96.4%) | -- |
| 1992 | 108919 | 105104 (96.5%) | -- |
| 1993 | 109637 | 105790 (96.5%) | -- |
| 1994 | 110313 | 106507 (96.5%) | -- |
| 1995 | 110959 | 107191 (96.6%) | -- |
| 1996 | 111615 | 107893 (96.7%) | -- |
| 1997 | 112289 | 108579 (96.7%) | -- |
| 1998 | 112919 | 109203 (96.7%) | 110157 (97.6%) |
| 1999 | 113542 | 109799 (96.7%) | 111722 (98.4%) |
| 2000 | 114182 | 110390 (96.7%) | 113264 (99.2%) |
| 2001 | 114821 | 111055 (96.7%) | 114889 (100.1%) |
| 2002 | 115497 | 111745 (96.8%) | 116497 (100.9%) |
| 2003 | 116175 | 112461 (96.8%) | 118139 (101.7%) |
| 2004 | 116819 | 113102 (96.8%) | 119745 (102.5%) |
| 2005 | 117465 | 113757 (96.8%) | 121371 (103.3%) |
| 2006 | 118119 | 114412 (96.9%) | 122989 (104.1%) |
| 2007 | 118792 | 114997 (96.8%) | 124521 (104.8%) |
| 2008 | 119496 | 115736 (96.9%) | 126181 (105.6%) |
| 2009 | 120074 | 116317 (96.9%) | 127789 (106.4%) |
| 2010 | 120665 | 116899 (96.9%) | 129362 (107.2%) |
| 2011 | 121265 | 117562 (96.9%) | 130979 (108.0%) |
| 2012 | 121819 | 118175 (97.0%) | 132571 (108.8%) |
| 2013 | 122308 | 118774 (97.1%) | 134195 (109.7%) |
| 2014 | 122830 | 119335 (97.2%) | 135733 (110.5%) |
| 2015 | 123360 | 119866 (97.2%) | 137231 (111.2%) |
| 2016 | 123855 | 120378 (97.2%) | 138736 (112.0%) |
| 2017 | 124287 | 120819 (97.2%) | 140225 (112.8%) |
| 2018 | 124730 | 121263 (97.2%) | 141695 (113.6%) |
| 2019 | 125123 | 121666 (97.2%) | 143178 (114.4%) |
| 2020 | 125570 | 122107 (97.2%) | 144657 (115.2%) |
| 2021 | 125981 | 122575 (97.3%) | 146200 (116.0%) |

US total Flu vaccine since 1998 = 388538000
Global total Flu vaccine since 1998 = 9230502000
